date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:52	28216/28216	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Dec%202021%2018:36:12%20GMT	https://marketifythemes.net/html/cavoni/index.html	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/index.html	(from )
00:36:52	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
00:36:53	212921/212921	---MCZ	200	added ('OK')	text/css	etag:W/%2247775-61ba2c86-d3446d3a5d188e71;gz%22	https://marketifythemes.net/html/cavoni/css/plugins.css	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/css/plugins.css	(from https://marketifythemes.net/html/cavoni/index.html)
00:36:53	39770/39770	---MCZ	200	added ('OK')	text/css	etag:W/%22cbf5-61dbcfa7-b2b8ac4a7441cc7f;gz%22	https://marketifythemes.net/html/cavoni/css/style.css	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/css/style.css	(from https://marketifythemes.net/html/cavoni/index.html)
00:36:53	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2264f-61ba2c8a-53053e2d8845303e;gz%22	https://marketifythemes.net/html/cavoni/img/svg/cancel.svg	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/img/svg/cancel.svg	(from https://marketifythemes.net/html/cavoni/index.html)
00:36:53	2713/2713	---M--	200	added ('OK')	image/png	etag:%22a99-61ba2c88-c1f7e92b20b01647;;;%22	https://marketifythemes.net/html/cavoni/img/logo/dark.png	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/img/logo/dark.png	(from https://marketifythemes.net/html/cavoni/index.html)
00:36:54	1184/1184	---M-Z	200	added ('OK')	image/svg+xml	etag:%224a0-61ba2c8b-8eadb454c5b1c8c;gz%22	https://marketifythemes.net/html/cavoni/img/svg/social/facebook.svg	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/img/svg/social/facebook.svg	(from https://marketifythemes.net/html/cavoni/index.html)
00:36:54	162456/162456	---M--	200	added ('OK')	image/jpeg	etag:%2227a98-61ba2c88-211993bf73a79747;;;%22	https://marketifythemes.net/html/cavoni/img/about/1.jpg	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/img/about/1.jpg	(from https://marketifythemes.net/html/cavoni/index.html)
00:36:55	1404/1404	---M-Z	200	added ('OK')	image/svg+xml	etag:%2257c-61ba2c8b-8b7a38179b51cb1d;gz%22	https://marketifythemes.net/html/cavoni/img/svg/social/twitter.svg	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/img/svg/social/twitter.svg	(from https://marketifythemes.net/html/cavoni/index.html)
00:36:57	1175/1175	---M-Z	200	added ('OK')	image/svg+xml	etag:%22497-61ba2c8b-decb929368303bb0;gz%22	https://marketifythemes.net/html/cavoni/img/svg/social/instagram.svg	C:/Users/Anne/Desktop/chuksFile/porttemp/marketifythemes.net/html/cavoni/img/svg/social/instagram.svg	(from https://marketifythemes.net/html/cavoni/index.html)
